9	9_0	Buchnera aphidicola	GCF_900128725.1			
17	417_0	Methylophilus methylotrophus	GCF_003854875.1			
23	23_0	Shewanella colwelliana	GCF_001735525.1			
25	25_0	Shewanella hanedai	GCF_007197645.1			
33	33_0	Myxococcus fulvus	GCF_007991095.1			
41	41_0	Stigmatella aurantiaca	GCF_900109545.1			
48	48_0	Archangium gephyra	GCF_001027285.1			
52	52_0	Chondromyces crocatus	GCF_001189295.1			
54	54_0	Nannocystis exedens	GCF_002343915.1			
56	56_0	Sorangium cellulosum	GCF_002950945.1			
56	56_1	Sorangium cellulosum	GCF_004135735.1			
56	56_2	Sorangium cellulosum	GCF_001589285.1			
63	63_0	Vitreoscilla filiformis	GCF_002222655.1			
69	69_0	Lysobacter enzymogenes	GCF_001442515.1			
69	69_1	Lysobacter enzymogenes	GCF_002355975.1			
94	94_0	Stella humosa	GCF_003751345.1			
100	100_0	Ancylobacter aquaticus	GCF_004339465.1			
100	100_1	Ancylobacter aquaticus	GCF_003963445.1			
102	102_0	Polaribacter glomeratus	GCF_007997115.1			
114	114_0	Gemmata obscuriglobus	GCF_008065095.1			
124	124_0	Blastopirellula marina	GCF_002967755.1			
124	124_1	Blastopirellula marina	GCF_002967725.1			
124	124_2	Blastopirellula marina	GCF_002967765.1			
124	124_3	Blastopirellula marina	GCF_002967715.1			
140	140_0	Borrelia hermsii	GCF_001598195.1			
162	162_0	Treponema phagedenis	GCF_000944995.1			
163	163_0	Treponema bryantii	GCF_900113965.1			
163	163_1	Treponema bryantii	GCF_900111035.1			
164	164_0	Treponema pectinovorum	GCF_900573895.1			
183	183_0	Leptonema illini	GCF_002009735.1			
192	192_0	Azospirillum brasilense	GCF_000632475.1			
193	193_0	Azospirillum lipoferum	GCF_900177475.1			
193	193_1	Azospirillum lipoferum	GCF_008364955.1			
195	195_0	Campylobacter coli	GCF_900446355.1			
197	197_0	Campylobacter jejuni	GCF_002179165.1			
198	198_0	Campylobacter hyointestinalis	GCF_900460765.1			
199	199_0	Campylobacter concisus	GCF_001891085.1			
201	201_0	Campylobacter lari	GCF_004357905.1			
201	201_1	Campylobacter lari	GCF_900446615.1			
204	204_0	Campylobacter showae	GCF_900573985.1			
204	204_1	Campylobacter showae	GCF_900699785.1			
211	211_0	Helicobacter sp. CLO-3	GCF_001677375.1			
216	216_0	Helicobacter muridarum	GCF_000765805.2			
217	217_0	Helicobacter mustelae	GCF_900451085.1			
238	238_0	Elizabethkingia meningoseptica	GCF_002002525.1			
246	246_0	Chryseobacterium balustinum	GCF_003815995.1			
250	250_0	Chryseobacterium gleum	GCF_900636535.1			
251	251_0	Psychroflexus gondwanensis	GCF_007997315.1			
252	252_0	Halomonas halmophila	GCF_006540005.1			
253	253_0	Chryseobacterium indologenes	GCF_001013295.1			
253	253_1	Chryseobacterium indologenes	GCF_001295265.1			
253	253_2	Chryseobacterium indologenes	GCF_002025665.1			
253	253_3	Chryseobacterium indologenes	GCF_005862425.1			
