9	9_0	Buchnera_aphidicola	GCF_900128725.1	367	2102	C
23	23_0	Shewanella_colwelliana	GCF_001735525.1	3836	15757	C
25	25_0	Shewanella_hanedai	GCF_007197645.1	4795	18685	C
33	33_0	Myxococcus_fulvus	GCF_007991095.1	8111	29833	C
41	41_0	Stigmatella_aurantiaca	GCF_900109545.1	7070	20500	C
48	48_0	Archangium_gephyra	GCF_001027285.1	9185	25392	C
52	52_0	Chondromyces_crocatus	GCF_001189295.1	7559	21373	C
54	54_0	Nannocystis_exedens	GCF_002343915.1	7073	16949	C
56	56_0	Sorangium_cellulosum	GCF_002950945.1	9474	25145	C
56	56_1	Sorangium_cellulosum	GCF_004135735.1	7515	21554	C
56	56_2	Sorangium_cellulosum	GCF_001589285.1	8089	22921	C
63	63_0	Vitreoscilla_filiformis	GCF_002222655.1	3132	11492	C
69	69_0	Lysobacter_enzymogenes	GCF_001442515.1	4654	22341	C
69	69_1	Lysobacter_enzymogenes	GCF_002355975.1	4608	22193	C
94	94_0	Stella_humosa	GCF_003751345.1	5104	15845	C
100	100_0	Ancylobacter_aquaticus	GCF_004339465.1	4232	12445	C
100	100_1	Ancylobacter_aquaticus	GCF_003963445.1	4576	13498	C
102	102_0	Polaribacter_glomeratus	GCF_007997115.1	3300	18687	C
114	114_0	Gemmata_obscuriglobus	GCF_008065095.1	5924	8121	C
124	124_0	Blastopirellula_marina	GCF_002967755.1	5752	7277	C
124	124_1	Blastopirellula_marina	GCF_002967725.1	5872	7535	C
124	124_2	Blastopirellula_marina	GCF_002967765.1	5328	8071	C
124	124_3	Blastopirellula_marina	GCF_002967715.1	4964	7490	C
140	140_0	Borrelia_hermsii	GCF_001598195.1	1185	6062	C
162	162_0	Treponema_phagedenis	GCF_000944995.1	2211	10516	C
163	163_0	Treponema_bryantii	GCF_900113965.1	2592	12944	C
163	163_1	Treponema_bryantii	GCF_900111035.1	2800	13361	C
164	164_0	Treponema_pectinovorum	GCF_900573895.1	1843	9556	C
183	183_0	Leptonema_illini	GCF_002009735.1	3402	9855	C
192	192_0	Azospirillum_brasilense	GCF_000632475.1	6162	25319	C
193	193_0	Azospirillum_lipoferum	GCF_900177475.1	6333	25701	C
193	193_1	Azospirillum_lipoferum	GCF_008364955.1	6758	27397	C
195	195_0	Campylobacter_coli	GCF_900446355.1	1875	12003	C
197	197_0	Campylobacter_jejuni	GCF_002179165.1	1741	11198	C
198	198_0	Campylobacter_hyointestinalis	GCF_900460765.1	1659	10639	C
199	199_0	Campylobacter_concisus	GCF_001891085.1	1829	11817	C
201	201_0	Campylobacter_lari	GCF_004357905.1	1476	9685	C
201	201_1	Campylobacter_lari	GCF_900446615.1	1479	9736	C
204	204_0	Campylobacter_showae	GCF_900573985.1	2153	13179	C
204	204_1	Campylobacter_showae	GCF_900699785.1	1950	12417	C
211	211_0	Helicobacter_sp._CLO-3	GCF_001677375.1	1687	10390	C
216	216_0	Helicobacter_muridarum	GCF_000765805.2	1747	10700	C
217	217_0	Helicobacter_mustelae	GCF_900451085.1	1362	8510	C
238	238_0	Elizabethkingia_meningoseptica	GCF_002002525.1	3395	16175	C
246	246_0	Chryseobacterium_balustinum	GCF_003815995.1	4229	23308	C
250	250_0	Chryseobacterium_gleum	GCF_900636535.1	4859	25200	C
251	251_0	Psychroflexus_gondwanensis	GCF_007997315.1	2872	14202	C
252	252_0	Halomonas_halmophila	GCF_006540005.1	2800	14298	C
253	253_0	Chryseobacterium_indologenes	GCF_001013295.1	5133	28230	C
253	253_1	Chryseobacterium_indologenes	GCF_001295265.1	4321	24436	C
253	253_2	Chryseobacterium_indologenes	GCF_002025665.1	4598	25326	C
253	253_3	Chryseobacterium_indologenes	GCF_005862425.1	4350	23581	C
254	254_0	Chryseobacterium_indoltheticum	GCF_900156145.1	3706	21502	C
256	256_0	Myroides_odoratus	GCF_001549985.1	3375	16152	C
256	256_1	Myroides_odoratus	GCF_900453865.1	3502	16715	C
276	276_0	Thermus_filiformis	GCF_000771745.2	2210	5618	C
280	280_0	Xanthobacter_autotrophicus	GCF_005871085.1	4263	12729	C
285	285_0	Comamonas_testosteroni	GCF_008727115.1	3470	17325	C
285	285_1	Comamonas_testosteroni	GCF_003569915.1	4210	19970	C
292	292_0	Burkholderia_cepacia	GCF_001532885.1	7785	33382	C
294	294_0	Pseudomonas_fluorescens	GCF_902497785.1	5586	21701	C
294	294_1	Pseudomonas_fluorescens	GCF_902497895.1	5475	21195	C
294	294_10	Pseudomonas_fluorescens	GCF_902497625.1	4937	19773	C
294	294_11	Pseudomonas_fluorescens	GCF_002022275.1	6070	22989	C
294	294_12	Pseudomonas_fluorescens	GCF_000802965.1	5596	21490	C
294	294_13	Pseudomonas_fluorescens	GCF_001648775.1	5666	22351	C
294	294_14	Pseudomonas_fluorescens	GCF_902497655.1	5676	21827	C
294	294_15	Pseudomonas_fluorescens	GCF_902497695.1	4753	19038	C
294	294_16	Pseudomonas_fluorescens	GCF_902497715.1	5865	21940	C
294	294_17	Pseudomonas_fluorescens	GCF_902497765.1	4295	17401	C
294	294_18	Pseudomonas_fluorescens	GCF_902497815.1	4978	18676	C
294	294_19	Pseudomonas_fluorescens	GCF_902497855.1	6463	23541	C
294	294_2	Pseudomonas_fluorescens	GCF_902497845.1	5758	21840	C
294	294_20	Pseudomonas_fluorescens	GCF_902497885.1	5736	22177	C
294	294_21	Pseudomonas_fluorescens	GCF_902497995.1	5618	21278	C
294	294_22	Pseudomonas_fluorescens	GCF_902498025.1	5966	23056	C
294	294_23	Pseudomonas_fluorescens	GCF_902498215.1	5812	22824	C
294	294_24	Pseudomonas_fluorescens	GCF_902498245.1	6430	23695	C
294	294_25	Pseudomonas_fluorescens	GCF_902498255.1	5512	21274	C
294	294_26	Pseudomonas_fluorescens	GCF_000817905.1	5690	22257	C
294	294_27	Pseudomonas_fluorescens	GCF_000827755.1	5454	22001	C
294	294_28	Pseudomonas_fluorescens	GCF_000836415.1	5267	20949	C
294	294_29	Pseudomonas_fluorescens	GCF_000967965.1	5530	21008	C
294	294_3	Pseudomonas_fluorescens	GCF_009765425.1	5299	20104	C
294	294_30	Pseudomonas_fluorescens	GCF_000968015.1	6040	22932	C
294	294_31	Pseudomonas_fluorescens	GCF_001307155.1	5731	22484	C
294	294_32	Pseudomonas_fluorescens	GCF_001307275.1	5937	22639	C
294	294_33	Pseudomonas_fluorescens	GCF_001317545.1	5814	21548	C
294	294_34	Pseudomonas_fluorescens	GCF_001440325.1	4995	19781	C
294	294_35	Pseudomonas_fluorescens	GCF_001625455.1	5615	22361	C
294	294_36	Pseudomonas_fluorescens	GCF_001708445.1	5775	22255	C
294	294_37	Pseudomonas_fluorescens	GCF_002417665.1	5753	22517	C
294	294_38	Pseudomonas_fluorescens	GCF_003626995.1	5279	21169	C
294	294_39	Pseudomonas_fluorescens	GCF_900455465.1	5370	20818	C
294	294_4	Pseudomonas_fluorescens	GCF_902498195.1	5920	22260	C
294	294_5	Pseudomonas_fluorescens	GCF_001679645.1	5234	21025	C
294	294_6	Pseudomonas_fluorescens	GCF_003732425.1	5539	21925	C
294	294_7	Pseudomonas_fluorescens	GCF_902497875.1	6209	22919	C
294	294_8	Pseudomonas_fluorescens	GCF_900636825.1	5184	20773	C
294	294_9	Pseudomonas_fluorescens	GCF_005938625.1	6042	23194	C
296	296_0	Pseudomonas_fragi	GCF_002269505.1	4486	18231	C
296	296_1	Pseudomonas_fragi	GCF_900105835.1	4412	17830	C
297	297_0	Hydrogenophilus_thermoluteolus	GCF_003574215.1	2072	3738	C
298	298_0	Pseudomonas_marginalis	GCF_007858155.1	6445	24355	C
300	300_0	Pseudomonas_mendocina	GCF_008041835.1	4284	17621	C
300	300_1	Pseudomonas_mendocina	GCF_900455715.1	4844	19476	C
300	300_2	Pseudomonas_mendocina	GCF_003008615.1	5129	20136	C
301	301_0	Pseudomonas_oleovorans	GCF_900626055.1	5001	19735	C
303	303_0	Pseudomonas_putida	GCF_004357765.1	4895	19536	C
303	303_1	Pseudomonas_putida	GCF_002094795.1	4970	20420	C
303	303_10	Pseudomonas_putida	GCF_003938945.1	4950	19509	C
303	303_11	Pseudomonas_putida	GCF_000691565.1	5248	20253	C
303	303_12	Pseudomonas_putida	GCF_000729805.1	6100	23009	C
303	303_13	Pseudomonas_putida	GCF_000800615.1	5148	20314	C
303	303_14	Pseudomonas_putida	GCF_000878325.1	5270	20673	C
303	303_15	Pseudomonas_putida	GCF_001306515.1	5290	20867	C
303	303_2	Pseudomonas_putida	GCF_003228315.1	6062	22461	C
303	303_3	Pseudomonas_putida	GCF_001941965.1	6181	23014	C
303	303_4	Pseudomonas_putida	GCF_005080685.1	5695	21503	C
303	303_5	Pseudomonas_putida	GCF_001630725.1	5723	21487	C
303	303_6	Pseudomonas_putida	GCF_001645635.1	4993	19872	C
303	303_7	Pseudomonas_putida	GCF_001976065.1	6072	22428	C
303	303_8	Pseudomonas_putida	GCF_002906835.1	5331	20977	C
303	303_9	Pseudomonas_putida	GCF_003721325.1	5845	22283	C
304	304_0	Pelomonas_saccharophila	GCF_004342485.1	5015	18629	C
305	305_0	Ralstonia_solanacearum	GCF_003515265.1	4575	22121	C
316	316_0	Pseudomonas_stutzeri	GCF_009789555.1	4451	17795	C
316	316_1	Pseudomonas_stutzeri	GCF_002890795.1	4150	17483	C
316	316_10	Pseudomonas_stutzeri	GCF_002890995.1	4401	18052	C
316	316_2	Pseudomonas_stutzeri	GCF_002909485.1	4313	17905	C
